group_id,group,State_Province,inst_name,inst_id,total_count_num,unique_count_num,total_count_string,unique_count_string,latitude,longitude
1,EAST,New Hampshire,Saint Anselm College,4924,49074,6467,"49,074","6,467","42.9850
",-71.5064
1,EAST,New Hampshire,UNH,4938,171371,38762,"171,371","38,762","43.1339
",-70.9264
1,EAST,New York,Rochester,4939,348137,145380,"348,137","145,380","43.1283
",-77.6283
1,EAST,New York,Siena College,4925,72056,8803,"72,056","8,803","42.7183
",-73.7536
1,EAST,New York,Skidmore,4944,78365,10083,"78,365","10,083","43.0978
",-73.7853
1,EAST,New York,Yeshiva University,4943,165674,72921,"165,674","72,921","40.8503
",-73.9297
1,EAST,Pennsylvania,Bryn Mawr College,4912,139076,60335,"139,076","60,335","40.0264
",-75.3136
1,EAST,Pennsylvania,Lafayette College,4920,104004,13454,"104,004","13,454","40.6980
",-75.208
1,EAST,Pennsylvania,Swarthmore College,4927,127267,32237,"127,267","32,237","39.9050
",-75.3539
1,EAST,Vermont,Middlebury College,4921,141139,40252,"141,139","40,252","44.0089
",-73.1772
7,MI-SPI,Michigan,Central Michigan University,4858,84247,6432,"84,247","6,432",43.591209,-84.775138
7,MI-SPI,Michigan,Eastern Michigan University,4859,172346,1150,"172,346","1,150",42.2506803,-83.624089
7,MI-SPI,Michigan,Ferris State University,4860,28416,4175,"28,416","4,175",43.684843,-85.485634
7,MI-SPI,Michigan,Grand Valley State University,4861,47215,6734,"47,215","6,734",42.963882,-85.888324
7,MI-SPI,Michigan,University of Michigan Dearborn,4866,35378,2216,"35,378","2,216",42.318409,-83.233202
7,MI-SPI,Michigan,Michigan Technological University,4862,32446,9873,"32,446","9,873",47.117051,-88.544531
7,MI-SPI,Michigan,Northern Michigan University,4863,40596,3724,"40,596","3,724",46.557929,-87.403445
7,MI-SPI,Michigan,Oakland University,4864,48408,3940,"48,408","3,940",42.672979,-83.215783
7,MI-SPI,Michigan,Saginaw Valley,4865,15048,1977,"15,048","1,977",43.551879,-83.96434
7,MI-SPI,Michigan,Wayne State University,4867,100278,38064,"100,278","38,064",42.359139,-83.066546
7,MI-SPI,Michigan,Western Michigan University,2630,169795,942,"169,795",942,42.2837336,-85.6102507
2,MSCS,Maine, --- MULTIPLE -- , --- MULTIPLE -- ,1408737,302601,"1,408,737","302,601",45.455796,-69.125977
6,TUG,Ontario,University of Guelph,564,116436,9171,"116,436","9,171",43.5320995,-80.2268613
6,TUG,Ontario,University of Waterloo,565,131339,7322,"131,339","7,322",43.4722854,-80.5448576
6,TUG,Ontario,Wilfrid Laurier University,566,92504,3903,"92,504","3,903",43.4723532,-80.5263399
4,VIVA,Virginia,George Mason,2241,504537,46483,"504,537","46,483",38.8315541,-77.3120885
4,VIVA,Virginia,James Madison University ,2242,244707,21234,"244,707","21,234",38.435092,-78.8697548
4,VIVA,Virginia,Old Dominion,2243,434572,35553,"434,572","35,553",36.88494124,-76.30734444
4,VIVA,Virginia,Radford University,2244,149393,10020,"149,393","10,020",37.1382689,-80.5506221
4,VIVA,Virginia,University of Virginia,2246,706308,154778,"706,308","154,778",38.0335529,-78.5079772
4,VIVA,Virginia,Virginia Commonwealth University,2247,468616,33391,"468,616","33,391",37.5489872,-77.4534286
4,VIVA,Virginia,Virginia Tech,2251,597193,82200,"597,193","82,200",37.2283843,-80.4234167
4,VIVA,Virginia,William and Mary,3769,425681,38144,"425,681","38,144",37.271674,-76.713378
5,WRLC,District of Columbia,American Univ,2353,339024,20474,"339,024","20,474",38.936845,-77.090877
5,WRLC,District of Columbia,Catholic University,2354,364951,69939,"364,951","69,939",38.936881,-76.998692
5,WRLC,District of Columbia,Gallaudet University,2355,74941,20468,"74,941","20,468",38.908422,-76.992387
5,WRLC,District of Columbia,Georgetown University,2361,860424,164122,"860,424","164,122",38.906618,-77.072192
5,WRLC,District of Columbia,George Washington University,2356,567606,100176,"567,606","100,176",38.899205,-77.048402
5,WRLC,District of Columbia,Howard University,2357,443081,50194,"443,081","50,194",38.92239,-77.019655
5,WRLC,District of Columbia,Marymount,2358,69228,2957,"69,228","2,957",38.905536,-77.128188
5,WRLC,District of Columbia,University of DC,2359,143089,9511,"143,089","9,511",38.943963,-77.065372
